ID,Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
40,Foot Locker,1185732,04-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000,63000,0.35,Outlet
41,Foot Locker,1185732,05-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750,49500,0.4,Outlet
42,Foot Locker,1185732,06-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,200,110000,44000,0.4,Outlet
43,Foot Locker,1185732,07-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,175,113750,39812.5,0.35,Outlet
44,Foot Locker,1185732,08-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,350,245000,73500,0.3,Outlet
45,Foot Locker,1185732,09-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,475,308750,154375,0.5,Outlet
46,Foot Locker,1185732,10-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,275,137500,41250,0.3,Outlet
47,Foot Locker,1185732,11-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,45,200,90000,31500,0.35,Outlet
48,Foot Locker,1185732,12-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,175,78750,27562.5,0.35,Outlet
49,Foot Locker,1185732,13-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750,20625,0.3,Outlet
50,Foot Locker,1185732,14-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,225,135000,33750,0.25,Outlet
51,Foot Locker,1185732,15-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,400,240000,120000,0.5,Outlet
52,Foot Locker,1185732,16-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,225,112500,33750,0.3,Outlet
53,Foot Locker,1185732,17-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,50,125,62500,21875,0.35,Outlet
54,Foot Locker,1185732,18-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,50,100,50000,17500,0.35,Outlet
55,Foot Locker,1185732,19-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,100,60000,18000,0.3,Outlet
56,Foot Locker,1185732,20-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,225,146250,36562.5,0.25,Outlet
57,Foot Locker,1185732,21-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,375,262500,144375,0.55,Outlet
58,Foot Locker,1185732,22-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,200,120000,42000,0.35,Outlet
59,Foot Locker,1185732,23-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,195,117000,46800,0.4,Outlet
60,Foot Locker,1185732,24-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000,42000,0.4,Outlet
61,Foot Locker,1185732,25-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,150,105000,36750,0.35,Outlet
62,Foot Locker,1185732,26-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,250,187500,56250,0.3,Outlet
63,Foot Locker,1185732,27-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,475,332500,182875,0.55,Outlet
64,Foot Locker,1185732,28-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,275,165000,57750,0.35,Outlet
65,Foot Locker,1185732,29-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,225,135000,54000,0.4,Outlet
66,Foot Locker,1185732,30-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000,42000,0.4,Outlet
67,Foot Locker,1185732,31-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,175,122500,42875,0.35,Outlet
68,Foot Locker,1185732,01-01-2020,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,275,206250,61875,0.3,Outlet
69,Foot Locker,1185732,26-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,42,41,1722,706.02,0.41,Outlet
70,Foot Locker,1185732,27-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,32,70,2240,761.6,0.34,Outlet
71,Foot Locker,1185732,28-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,32,166,5312,3187.2,0.6,Outlet
72,Foot Locker,1185732,29-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,32,44,1408,563.2,0.4,Outlet
73,Foot Locker,1185732,30-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,25,54,1350,607.5,0.45,Outlet
74,Foot Locker,1185732,31-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,28,17,476,199.92,0.42,Outlet
75,Foot Locker,1185732,01-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,39,40,1560,577.2,0.37,Outlet
76,Foot Locker,1185732,02-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,30,74,2220,777,0.35,Outlet
77,Foot Locker,1185732,03-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,39,156,6084,3528.72,0.58,Outlet
78,Foot Locker,1185732,04-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,33,53,1749,647.13,0.37,Outlet
79,Foot Locker,1185732,05-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,29,58,1682,756.9,0.45,Outlet
80,Foot Locker,1185732,06-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,8,256,112.64,0.44,Outlet
81,Foot Locker,1185732,07-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,41,24,984,334.56,0.34,Outlet
82,Foot Locker,1185732,08-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,38,61,2318,718.58,0.31,Outlet
83,Foot Locker,1185732,09-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,35,140,4900,2793,0.57,Outlet
84,Foot Locker,1185732,10-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,37,51,1887,603.84,0.32,Outlet
85,Foot Locker,1185732,11-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,27,51,1377,578.34,0.42,Outlet
86,Foot Locker,1185732,12-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,36,24,864,328.32,0.38,Outlet
87,Foot Locker,1185732,13-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,45,26,1170,432.9,0.37,Outlet
88,Foot Locker,1185732,14-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,39,64,2496,673.92,0.27,Outlet
89,Foot Locker,1185732,15-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,44,150,6600,3432,0.52,Outlet
90,Foot Locker,1185732,16-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,54,2160,712.8,0.33,Outlet
91,Foot Locker,1185732,17-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,53,2014,745.18,0.37,Outlet
92,Foot Locker,1185732,18-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,34,1428,571.2,0.4,Outlet
93,Foot Locker,1185732,19-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,39,1989,735.93,0.37,Outlet
94,Foot Locker,1185732,20-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,51,78,3978,1471.86,0.37,Outlet
95,Foot Locker,1185732,21-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,170,8330,4748.1,0.57,Outlet
96,Foot Locker,1185732,22-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,41,85,3485,1359.15,0.39,Outlet
97,Foot Locker,1185732,23-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,42,54,2268,975.24,0.43,Outlet
98,Foot Locker,1185732,24-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,53,2279,1071.13,0.47,Outlet
99,Foot Locker,1185732,25-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,48,2064,866.88,0.42,Outlet
100,Foot Locker,1185732,26-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,52,105,5460,1911,0.35,Outlet
101,Foot Locker,1185732,27-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,175,8575,4887.75,0.57,Outlet
102,Foot Locker,1185732,28-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,99,4455,1737.45,0.39,Outlet
103,Foot Locker,1185732,29-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,43,72,3096,1331.28,0.43,Outlet
104,Foot Locker,1185732,30-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,56,2184,1026.48,0.47,Outlet
105,Foot Locker,1185732,01-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,64,3200,1280,0.4,Outlet
106,Foot Locker,1185732,02-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,116,5800,2088,0.36,Outlet
107,Foot Locker,1185732,03-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,51,179,9129,5294.82,0.58,Outlet
108,Foot Locker,1185732,04-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,102,4488,1884.96,0.42,Outlet
109,Foot Locker,1185732,05-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,79,3002,1410.94,0.47,Outlet
110,Foot Locker,1185732,06-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,62,2666,1226.36,0.46,Outlet
111,Foot Locker,1185732,07-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,54,2484,968.76,0.39,Outlet
112,Foot Locker,1185732,08-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,49,123,6027,2169.72,0.36,Outlet
113,Foot Locker,1185732,09-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,162,7452,3875.04,0.52,Outlet
114,Foot Locker,1185732,10-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,91,3640,1237.6,0.34,Outlet
115,Foot Locker,1185732,11-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,32,60,1920,768,0.4,Outlet
116,Foot Locker,1185732,12-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,53,1696,695.36,0.41,Outlet
117,Foot Locker,1185732,13-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,36,41,1476,501.84,0.34,Outlet
118,Foot Locker,1185732,14-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,79,3792,1175.52,0.31,Outlet
119,Foot Locker,1185732,15-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,47,124,5828,3088.84,0.53,Outlet
120,Foot Locker,1185732,16-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,35,68,2380,761.6,0.32,Outlet
121,Foot Locker,1185732,17-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444,548.72,0.38,Outlet
122,Foot Locker,1185732,18-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,34,1360,516.8,0.38,Outlet
123,Foot Locker,1185732,19-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,30,1290,425.7,0.33,Outlet
124,Foot Locker,1185732,20-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,42,74,3108,994.56,0.32,Outlet
125,Foot Locker,1185732,21-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,48,124,5952,3571.2,0.6,Outlet
126,Foot Locker,1185732,22-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,43,68,2924,1228.08,0.42,Outlet
127,Foot Locker,1185732,23-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,47,66,3102,1364.88,0.44,Outlet
128,Foot Locker,1185732,24-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,60,2580,1186.8,0.46,Outlet
129,Foot Locker,1185732,25-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,48,2448,954.72,0.39,Outlet
130,Foot Locker,1185732,26-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,75,3975,1431,0.36,Outlet
131,Foot Locker,1185732,27-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,53,143,7579,4623.19,0.61,Outlet
132,Foot Locker,1185732,28-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,85,3995,1637.95,0.41,Outlet
133,Foot Locker,1185732,29-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,44,79,3476,1529.44,0.44,Outlet
134,Foot Locker,1185732,30-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,53,2120,954,0.45,Outlet
135,Foot Locker,1185732,31-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,56,2576,1004.64,0.39,Outlet
136,Foot Locker,1185732,01-01-2020,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,83,4399,1407.68,0.32,Outlet
137,Foot Locker,1185732,26-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,54,36,1944,874.8,0.45,Online
138,Foot Locker,1185732,27-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,43,61,2623,1154.12,0.44,Online
139,Foot Locker,1185732,28-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,42,119,4998,3348.66,0.67,Online
140,Foot Locker,1185732,29-10-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,35,1540,739.2,0.48,Online
141,Foot Locker,1185732,30-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,34,46,1564,813.28,0.52,Online
142,Foot Locker,1185732,31-10-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,13,507,263.64,0.52,Online
143,Foot Locker,1185732,01-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,36,1836,844.56,0.46,Online
144,Foot Locker,1185732,02-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,44,68,2992,1346.4,0.45,Online
145,Foot Locker,1185732,03-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,120,5880,4116,0.7,Online
146,Foot Locker,1185732,04-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,38,1786,875.14,0.49,Online
147,Foot Locker,1185732,05-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,36,51,1836,991.44,0.54,Online
148,Foot Locker,1185732,06-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,8,344,175.44,0.51,Online
149,Foot Locker,1185732,07-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,58,20,1160,464,0.4,Online
150,Foot Locker,1185732,08-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,47,44,2068,723.8,0.35,Online
151,Foot Locker,1185732,09-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,122,5612,3535.56,0.63,Online
152,Foot Locker,1185732,10-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,45,2025,850.5,0.42,Online
153,Foot Locker,1185732,11-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444,664.24,0.46,Online
154,Foot Locker,1185732,12-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,20,840,386.4,0.46,Online
155,Foot Locker,1185732,13-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,22,1210,508.2,0.42,Online
156,Foot Locker,1185732,14-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,54,2592,933.12,0.36,Online
157,Foot Locker,1185732,15-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,58,136,7888,4969.44,0.63,Online
158,Foot Locker,1185732,16-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,53,2862,1144.8,0.4,Online
159,Foot Locker,1185732,17-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,42,2184,1004.64,0.46,Online
160,Foot Locker,1185732,18-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,29,1479,695.13,0.47,Online
161,Foot Locker,1185732,19-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,59,31,1829,768.18,0.42,Online
162,Foot Locker,1185732,20-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,63,4032,1814.4,0.45,Online
163,Foot Locker,1185732,21-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,64,135,8640,5616,0.65,Online
164,Foot Locker,1185732,22-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,59,70,4130,1899.8,0.46,Online
165,Foot Locker,1185732,23-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,44,2288,1144,0.5,Online
166,Foot Locker,1185732,24-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,52,39,2028,1074.84,0.53,Online
167,Foot Locker,1185732,25-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,45,2700,1242,0.46,Online
168,Foot Locker,1185732,26-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,81,5265,2211.3,0.42,Online
169,Foot Locker,1185732,27-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,145,8700,5829,0.67,Online
170,Foot Locker,1185732,28-11-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,90,4950,2475,0.5,Online
171,Foot Locker,1185732,29-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,51,59,3009,1504.5,0.5,Online
172,Foot Locker,1185732,30-11-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,44,2244,1189.32,0.53,Online
173,Foot Locker,1185732,01-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,60,3840,1843.2,0.48,Online
174,Foot Locker,1185732,02-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,98,6272,2634.24,0.42,Online
175,Foot Locker,1185732,03-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,158,9480,6256.8,0.66,Online
176,Foot Locker,1185732,04-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,75,4050,1903.5,0.47,Online
177,Foot Locker,1185732,05-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,54,61,3294,1811.7,0.55,Online
178,Foot Locker,1185732,06-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,53,58,3074,1659.96,0.54,Online
179,Foot Locker,1185732,07-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,61,46,2806,1290.76,0.46,Online
180,Foot Locker,1185732,08-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,95,6080,2614.4,0.43,Online
181,Foot Locker,1185732,09-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,62,143,8866,5319.6,0.6,Online
182,Foot Locker,1185732,10-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,48,80,3840,1536,0.4,Online
183,Foot Locker,1185732,11-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,41,50,2050,922.5,0.45,Online
184,Foot Locker,1185732,12-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,41,53,2173,1021.31,0.47,Online
185,Foot Locker,1185732,13-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,36,1800,810,0.45,Online
186,Foot Locker,1185732,14-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,55,61,3355,1342,0.4,Online
187,Foot Locker,1185732,15-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,55,104,5720,3546.4,0.62,Online
188,Foot Locker,1185732,16-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,63,2961,1243.62,0.42,Online
189,Foot Locker,1185732,17-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,48,34,1632,734.4,0.45,Online
190,Foot Locker,1185732,18-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,48,29,1392,626.4,0.45,Online
191,Foot Locker,1185732,19-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,56,27,1512,650.16,0.43,Online
192,Foot Locker,1185732,20-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,63,3780,1474.2,0.39,Online
193,Foot Locker,1185732,21-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,66,113,7458,4847.7,0.65,Online
194,Foot Locker,1185732,22-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,60,3300,1551,0.47,Online
195,Foot Locker,1185732,23-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,55,3025,1603.25,0.53,Online
196,Foot Locker,1185732,24-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,56,44,2464,1256.64,0.51,Online
197,Foot Locker,1185732,25-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,42,2688,1290.24,0.48,Online
198,Foot Locker,1185732,26-12-2021,Northeast,Pennsylvania,Philadelphia,Women,Apparel,71,65,4615,2030.6,0.44,Online
199,Foot Locker,1185732,27-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,67,124,8308,5732.52,0.69,Online
200,Foot Locker,1185732,28-12-2021,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,69,3795,1707.75,0.45,Online
